destination_id,destination_name,country,current_cover_image_url,new_cover_image_url,photo_credit,notes
7bf97db0-0333-4c7a-907b-d4f408aa78e5,Agra Fort,India,"","","",""
bf0e9fd3-5108-4529-9873-574791fd01bf,Itimad-Ud-Daulah,India,"","","",""
04da5978-b51d-4f23-8945-9e37d4ae7c04,local handicraft and jewellery shops,India,"","","",""
4aabc805-e8c2-4ec4-ab44-bb6ac033945c,local hotel restaurant,India,"","","",""
adee816f-dee0-4a05-be13-3bc9c38a3a3a,Taj Mahal,India,"","","",""
2ee1f437-5c91-4087-a88e-5e70aae2e828,Ada Garden Hotel Okinawa,Japan,"","","",""
fe09726c-414f-4a8e-87cf-27583b8d6127,Cape Hedo,Japan,"","","",""
49243dc0-35de-4643-9c76-19eb25740c93,coastal settlements,Japan,"","","",""
bf84d05e-34d6-446c-a937-600be6e823f1,Emi no Mise in Ogimi Village,Japan,"","","",""
9c0fe029-f3a2-4f40-a062-fa5030173bf9,family-friendly restaurant,Japan,"","","",""
b7a7e765-04cc-40de-ae6b-62bae3033faf,farmer's farms in Yanbaru,Japan,"","","",""
7babf2e6-5aad-4791-b5b0-691719c25dab,fishing vessel,Japan,"","","",""
d84f5bcf-7c36-4855-a6f5-910b882d5ac7,fishing village,Japan,"","","",""
46ed1201-bd3f-45c9-8e1f-689bfbc7bdc1,former Shioya Elementary School,Japan,"","","",""
7de5ceea-8bf7-40e4-8b8e-9cbe8baa6782,historic district surrounding Shuri Castle,Japan,"","","",""
8c9785d0-e6c6-494b-8cf0-cb63df2b64c4,historic neighborhood surrounding Shuri Castle,Japan,"","","",""
2c5f301f-a84b-4d5e-b6dd-16a1953728d3,living reef,Japan,"","","",""
fe24a31c-f136-4157-8499-169ee045a9e2,living reefs,Japan,"","","",""
bab88cb7-c709-4165-826c-d415848b77c0,local restaurant,Japan,"","","",""
91f62ee0-0a22-475c-a77c-2bfe80950bdb,medicinal herb garden,Japan,"","","",""
949b04c7-d0e0-42d6-9546-4ae52f6626cb,northern Okinawa fishing villages,Japan,"","","",""
60081905-6b72-48d4-8f7b-5cbdf1634f4d,owner-chef's restaurant in Shioya,Japan,"","","",""
3c3069ec-a1a7-487a-9ca5-0b66da6f1378,reef,Japan,"","","",""
3f043923-b3a1-4757-aa62-00a8e8e5b4e0,Sabani boat-building studio,Japan,"","","",""
f85b61fc-ef71-48e7-8517-4305502f3e44,sabani boat workshop,Japan,"","","",""
335be7ea-6512-4c8b-9eff-fcdcd91dd38a,shallow reefs near working fishing port,Japan,"","","",""
9b505ebf-44ba-4dcc-ab5d-972ca979f726,shallow reefs near Yanbaru,Japan,"","","",""
9db27ce0-326d-4715-adf9-b3f9e73149ee,Shioya,Japan,"","","",""
078e27df-cbd8-400e-a71c-7a98d3afc340,Shioya Community Center,Japan,"","","",""
c5dd9e98-8fcb-44d2-8b4f-8d3bdcf82b91,Shuri Castle,Japan,"","","",""
25bad288-e144-4c99-90ef-ede1033615fa,traditional Okinawan home,Japan,"","","",""
1207cb04-9996-48d5-85fe-29a2d9f125f9,Utaki,Japan,"","","",""
52bfb740-19fb-4c66-bfd3-ac075c6ba148,utaki at Cape Hedo,Japan,"","","",""
771c6fd5-2a6f-48a3-8208-de858390a656,working fishing port,Japan,"","","",""
a8e346d6-86c9-4e5a-97e3-10df3234cadd,Yanbaru,Japan,"","","",""
e9865816-7364-4ea6-a0e2-8e4def755b90,Yanbaru waters,Japan,"","","",""
0560a95c-758c-4244-a507-cf01f2339fd1,Yanbaru World Heritage Forest,Japan,"","","",""
ab7eec7e-deac-4d8a-a259-793e3d7fbb92,100 Waterfalls cascade,Laos,"","","",""
d85cfc65-aa3b-4525-b310-9d64f3f314e8,Bamboo Experience,Laos,"","","",""
ae13e2ff-b6e6-4f73-a539-0d6f1097ab79,Ban Chan Pottery Village,Laos,"","","",""
a8ec74ad-62b4-4e52-89d3-77240f905522,Ban Nayang,Laos,"","","",""
901ea932-0c10-4b76-9131-bbeb89068d1e,Ban Pak Ou village,Laos,"","","",""
bd8740b5-8adb-42ab-b8ef-002d3619f9a4,Ban Xang Hai,Laos,"","","",""
d981407e-dbd9-4bbb-9815-da8af1a122d5,Ban Xang Khong,Laos,"","","",""
f31b4fa5-f380-47d1-8b5d-2b4e3c6fc3f7,Bear Rescue Center,Laos,"","","",""
3dd78cd6-3a2d-4891-a8b7-c559a5a87669,"Bear Rescue Center, Kuang Si",Laos,"","","",""
66d9f932-4f26-4507-9fc7-98356df8ee4b,Bear Sanctuary,Laos,"","","",""
92e01b96-b79b-43bf-904a-ce69a80a87a5,Big Pha Ngern,Laos,"","","",""
e27e8265-6ba5-4d8d-961f-9e01186263dc,Blue Lagoons 2 and 3,Laos,"","","",""
